"public_id_efetivo","slug_catalogo","nome_oficial","grupamento","origem"
"tr_ex_global_desenvolvimento-barra","desenvolvimento-barra","Desenvolvimento com barra","Ombros","novo"
"tr_ex_global_desenvolvimento-maquina","desenvolvimento-maquina","Desenvolvimento máquina","Ombros","novo"
"tr_ex_global_elevacao-lateral-halteres","elevacao-lateral-halteres","Elevação lateral com halteres","Ombros","novo"
"tr_ex_global_elevacao-lateral-cabo","elevacao-lateral-cabo","Elevação lateral no cabo","Ombros","novo"
"tr_ex_global_elevacao-lateral-maquina","elevacao-lateral-maquina","Elevação lateral máquina","Ombros","novo"
"tr_ex_global_elevacao-frontal","elevacao-frontal","Elevação frontal","Ombros","novo"
"tr_ex_global_crucifixo-inverso","crucifixo-inverso","Crucifixo inverso","Ombros","novo"
"tr_ex_global_face-pull","face-pull","Face pull","Ombros","novo"
"tr_ex_global_remada-alta","remada-alta","Remada alta","Ombros","novo"
"tr_ex_global_rosca_direta","rosca-direta-barra","Rosca direta com barra","Bíceps","historico"
"tr_ex_global_rosca-direta-ez","rosca-direta-ez","Rosca direta barra EZ","Bíceps","novo"
"tr_ex_global_rosca-alternada","rosca-alternada","Rosca alternada","Bíceps","novo"
"tr_ex_global_rosca-simultanea-halteres","rosca-simultanea-halteres","Rosca simultânea com halteres","Bíceps","novo"
"tr_ex_global_rosca-martelo","rosca-martelo","Rosca martelo","Bíceps","novo"
"tr_ex_global_rosca-scott","rosca-scott","Rosca Scott","Bíceps","novo"
"tr_ex_global_rosca-cabo","rosca-cabo","Rosca no cabo","Bíceps","novo"
"tr_ex_global_rosca-concentrada","rosca-concentrada","Rosca concentrada","Bíceps","novo"
"tr_ex_global_rosca-inclinada-halteres","rosca-inclinada-halteres","Rosca inclinada com halteres","Bíceps","novo"
"tr_ex_global_rosca-bayesian","rosca-bayesian","Rosca Bayesian","Bíceps","novo"
"tr_ex_global_triceps-pulley-barra","triceps-pulley-barra","Tríceps pulley com barra","Tríceps","novo"
"tr_ex_global_triceps_pulley","triceps-pulley-corda","Tríceps pulley com corda","Tríceps","historico"
"tr_ex_global_triceps-frances-halter","triceps-frances-halter","Tríceps francês com halter","Tríceps","novo"
"tr_ex_global_triceps-testa","triceps-testa","Tríceps testa","Tríceps","novo"
"tr_ex_global_triceps-unilateral-cabo","triceps-unilateral-cabo","Tríceps unilateral no cabo","Tríceps","novo"
"tr_ex_global_triceps-overhead-cabo","triceps-overhead-cabo","Tríceps acima da cabeça no cabo","Tríceps","novo"
"tr_ex_global_supino-fechado","supino-fechado","Supino fechado","Tríceps","novo"
"tr_ex_global_paralelas","paralelas","Paralelas","Tríceps","novo"
"tr_ex_global_triceps-maquina","triceps-maquina","Tríceps máquina","Tríceps","novo"
"tr_ex_global_coice-halter","coice-halter","Coice com halter","Tríceps","novo"
"tr_ex_global_agachamento","agachamento-livre","Agachamento livre","Quadríceps","historico"
"tr_ex_global_agachamento-frontal","agachamento-frontal","Agachamento frontal","Quadríceps","novo"
"tr_ex_global_hack-squat","hack-squat","Hack squat","Quadríceps","novo"
"tr_ex_global_leg_press","leg-press-45","Leg press 45°","Quadríceps","historico"
"tr_ex_global_leg-press-horizontal","leg-press-horizontal","Leg press horizontal","Quadríceps","novo"
"tr_ex_global_cadeira-extensora","cadeira-extensora","Cadeira extensora","Quadríceps","novo"
"tr_ex_global_afundo","afundo","Afundo","Quadríceps","novo"
"tr_ex_global_passada","passada","Passada","Quadríceps","novo"
"tr_ex_global_agachamento-bulgaro","agachamento-bulgaro","Agachamento búlgaro","Quadríceps","novo"
"tr_ex_global_goblet-squat","goblet-squat","Goblet squat","Quadríceps","novo"
"tr_ex_global_mesa_flexora","mesa-flexora","Mesa flexora","Posteriores","historico"
"tr_ex_global_cadeira-flexora","cadeira-flexora","Cadeira flexora","Posteriores","novo"
"tr_ex_global_flexora-unilateral","flexora-unilateral","Flexora unilateral","Posteriores","novo"
"tr_ex_global_stiff-barra","stiff-barra","Stiff com barra","Posteriores","novo"
"tr_ex_global_stiff-halteres","stiff-halteres","Stiff com halteres","Posteriores","novo"
"tr_ex_global_levantamento-terra-romeno","levantamento-terra-romeno","Levantamento terra romeno","Posteriores","novo"
"tr_ex_global_good-morning","good-morning","Good morning","Posteriores","novo"
"tr_ex_global_nordic-curl","nordic-curl","Nordic curl","Posteriores","novo"
"tr_ex_global_levantamento-terra","levantamento-terra","Levantamento terra","Posteriores","novo"
"tr_ex_global_pull-through-cabo","pull-through-cabo","Pull-through no cabo","Posteriores","novo"
"tr_ex_global_hip-thrust","hip-thrust","Hip thrust","Glúteos","novo"
"tr_ex_global_elevacao-pelvica","elevacao-pelvica","Elevação pélvica","Glúteos","novo"
"tr_ex_global_glute-bridge","glute-bridge","Glute bridge","Glúteos","novo"
"tr_ex_global_coice-cabo","coice-cabo","Coice no cabo","Glúteos","novo"
"tr_ex_global_abducao-maquina","abducao-maquina","Abdução na máquina","Glúteos","novo"
"tr_ex_global_abducao-cabo","abducao-cabo","Abdução no cabo","Glúteos","novo"
"tr_ex_global_step-up","step-up","Step-up","Glúteos","novo"
"tr_ex_global_afundo-reverso","afundo-reverso","Afundo reverso","Glúteos","novo"
"tr_ex_global_extensao-quadril-maquina","extensao-quadril-maquina","Extensão de quadril máquina","Glúteos","novo"
"tr_ex_global_caminhada-lateral-miniband","caminhada-lateral-miniband","Caminhada lateral com miniband","Glúteos","novo"
"tr_ex_global_elevacao_panturrilha","panturrilha-em-pe","Panturrilha em pé","Panturrilhas","historico"
"tr_ex_global_panturrilha-sentada","panturrilha-sentada","Panturrilha sentada","Panturrilhas","novo"
"tr_ex_global_panturrilha-leg-press","panturrilha-leg-press","Panturrilha no leg press","Panturrilhas","novo"
"tr_ex_global_panturrilha-unilateral","panturrilha-unilateral","Panturrilha unilateral","Panturrilhas","novo"
"tr_ex_global_panturrilha-smith","panturrilha-smith","Panturrilha no Smith","Panturrilhas","novo"
"tr_ex_global_panturrilha-hack","panturrilha-hack","Panturrilha no hack","Panturrilhas","novo"
"tr_ex_global_crunch-abdominal","crunch-abdominal","Crunch abdominal","Core","novo"
"tr_ex_global_crunch-cabo","crunch-cabo","Crunch no cabo","Core","novo"
"tr_ex_global_elevacao-pernas","elevacao-pernas","Elevação de pernas","Core","novo"
"tr_ex_global_elevacao-joelhos-suspenso","elevacao-joelhos-suspenso","Elevação de joelhos suspenso","Core","novo"
"tr_ex_global_prancha","prancha","Prancha","Core","historico"
"tr_ex_global_prancha-lateral","prancha-lateral","Prancha lateral","Core","novo"
"tr_ex_global_ab-wheel","ab-wheel","Ab wheel","Core","novo"
"tr_ex_global_pallof-press","pallof-press","Pallof press","Core","novo"
"tr_ex_global_cadeira-adutora","cadeira-adutora","Cadeira adutora","Adutores/Abdutores","novo"
"tr_ex_global_cadeira-abdutora","cadeira-abdutora","Cadeira abdutora","Adutores/Abdutores","novo"
"tr_ex_global_aducao-cabo","aducao-cabo","Adução no cabo","Adutores/Abdutores","novo"
"tr_ex_global_abducao-cabo-em-pe","abducao-cabo-em-pe","Abdução no cabo em pé","Adutores/Abdutores","novo"
"tr_ex_global_clamshell","clamshell","Clamshell","Adutores/Abdutores","novo"
"tr_ex_global_copenhagen-plank","copenhagen-plank","Copenhagen plank","Adutores/Abdutores","novo"
