"public_id_efetivo","slug_catalogo","nome_oficial","grupamento","status","observacao"
"tr_ex_global_rosca-cabo","rosca-cabo","Rosca no cabo","Bíceps","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_rosca-concentrada","rosca-concentrada","Rosca concentrada","Bíceps","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_rosca-inclinada-halteres","rosca-inclinada-halteres","Rosca inclinada com halteres","Bíceps","IMPLEMENTADA",""
"tr_ex_global_rosca-bayesian","rosca-bayesian","Rosca Bayesian","Bíceps","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_triceps-pulley-barra","triceps-pulley-barra","Tríceps pulley com barra","Tríceps","IMPLEMENTADA",""
"tr_ex_global_triceps_pulley","triceps-pulley-corda","Tríceps pulley com corda","Tríceps","IMPLEMENTADA",""
"tr_ex_global_triceps-frances-halter","triceps-frances-halter","Tríceps francês com halter","Tríceps","IMPLEMENTADA",""
"tr_ex_global_triceps-testa","triceps-testa","Tríceps testa","Tríceps","IMPLEMENTADA",""
"tr_ex_global_triceps-unilateral-cabo","triceps-unilateral-cabo","Tríceps unilateral no cabo","Tríceps","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_triceps-overhead-cabo","triceps-overhead-cabo","Tríceps acima da cabeça no cabo","Tríceps","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_supino-fechado","supino-fechado","Supino fechado","Tríceps","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_paralelas","paralelas","Paralelas","Tríceps","IMPLEMENTADA",""
"tr_ex_global_triceps-maquina","triceps-maquina","Tríceps máquina","Tríceps","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_coice-halter","coice-halter","Coice com halter","Tríceps","IMPLEMENTADA",""
"tr_ex_global_agachamento","agachamento-livre","Agachamento livre","Quadríceps","IMPLEMENTADA",""
"tr_ex_global_agachamento-frontal","agachamento-frontal","Agachamento frontal","Quadríceps","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_hack-squat","hack-squat","Hack squat","Quadríceps","IMPLEMENTADA",""
"tr_ex_global_leg_press","leg-press-45","Leg press 45°","Quadríceps","IMPLEMENTADA",""
"tr_ex_global_leg-press-horizontal","leg-press-horizontal","Leg press horizontal","Quadríceps","IMPLEMENTADA",""
"tr_ex_global_cadeira-extensora","cadeira-extensora","Cadeira extensora","Quadríceps","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_afundo","afundo","Afundo","Quadríceps","IMPLEMENTADA",""
"tr_ex_global_passada","passada","Passada","Quadríceps","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_agachamento-bulgaro","agachamento-bulgaro","Agachamento búlgaro","Quadríceps","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_goblet-squat","goblet-squat","Goblet squat","Quadríceps","IMPLEMENTADA",""
"tr_ex_global_mesa_flexora","mesa-flexora","Mesa flexora","Posteriores","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_cadeira-flexora","cadeira-flexora","Cadeira flexora","Posteriores","IMPLEMENTADA",""
"tr_ex_global_flexora-unilateral","flexora-unilateral","Flexora unilateral","Posteriores","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_stiff-barra","stiff-barra","Stiff com barra","Posteriores","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_stiff-halteres","stiff-halteres","Stiff com halteres","Posteriores","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_levantamento-terra-romeno","levantamento-terra-romeno","Levantamento terra romeno","Posteriores","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_good-morning","good-morning","Good morning","Posteriores","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_nordic-curl","nordic-curl","Nordic curl","Posteriores","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_levantamento-terra","levantamento-terra","Levantamento terra","Posteriores","IMPLEMENTADA",""
"tr_ex_global_pull-through-cabo","pull-through-cabo","Pull-through no cabo","Posteriores","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_hip-thrust","hip-thrust","Hip thrust","Glúteos","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_elevacao-pelvica","elevacao-pelvica","Elevação pélvica","Glúteos","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_glute-bridge","glute-bridge","Glute bridge","Glúteos","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_coice-cabo","coice-cabo","Coice no cabo","Glúteos","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_abducao-maquina","abducao-maquina","Abdução na máquina","Glúteos","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_abducao-cabo","abducao-cabo","Abdução no cabo","Glúteos","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_step-up","step-up","Step-up","Glúteos","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_afundo-reverso","afundo-reverso","Afundo reverso","Glúteos","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_extensao-quadril-maquina","extensao-quadril-maquina","Extensão de quadril máquina","Glúteos","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_caminhada-lateral-miniband","caminhada-lateral-miniband","Caminhada lateral com miniband","Glúteos","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_elevacao_panturrilha","panturrilha-em-pe","Panturrilha em pé","Panturrilhas","IMPLEMENTADA",""
"tr_ex_global_panturrilha-sentada","panturrilha-sentada","Panturrilha sentada","Panturrilhas","IMPLEMENTADA",""
"tr_ex_global_panturrilha-leg-press","panturrilha-leg-press","Panturrilha no leg press","Panturrilhas","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_panturrilha-unilateral","panturrilha-unilateral","Panturrilha unilateral","Panturrilhas","IMPLEMENTADA",""
"tr_ex_global_panturrilha-smith","panturrilha-smith","Panturrilha no Smith","Panturrilhas","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_panturrilha-hack","panturrilha-hack","Panturrilha no hack","Panturrilhas","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_crunch-abdominal","crunch-abdominal","Crunch abdominal","Core","IMPLEMENTADA",""
"tr_ex_global_crunch-cabo","crunch-cabo","Crunch no cabo","Core","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_elevacao-pernas","elevacao-pernas","Elevação de pernas","Core","IMPLEMENTADA",""
"tr_ex_global_elevacao-joelhos-suspenso","elevacao-joelhos-suspenso","Elevação de joelhos suspenso","Core","IMPLEMENTADA",""
"tr_ex_global_prancha","prancha","Prancha","Core","PENDENTE_FONTE_APROVADA","Pexels 31035751"
"tr_ex_global_prancha-lateral","prancha-lateral","Prancha lateral","Core","PENDENTE_FONTE_APROVADA","Pexels 6297142"
"tr_ex_global_ab-wheel","ab-wheel","Ab wheel","Core","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_pallof-press","pallof-press","Pallof press","Core","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_cadeira-adutora","cadeira-adutora","Cadeira adutora","Adutores/Abdutores","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_cadeira-abdutora","cadeira-abdutora","Cadeira abdutora","Adutores/Abdutores","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_aducao-cabo","aducao-cabo","Adução no cabo","Adutores/Abdutores","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_abducao-cabo-em-pe","abducao-cabo-em-pe","Abdução no cabo em pé","Adutores/Abdutores","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_clamshell","clamshell","Clamshell","Adutores/Abdutores","SEM_CANDIDATO_ADEQUADO",""
"tr_ex_global_copenhagen-plank","copenhagen-plank","Copenhagen plank","Adutores/Abdutores","SEM_CANDIDATO_ADEQUADO",""
